slug;symbol;name;date;ranknow;open;high;low;close;volume;market;close_ratio;spread
bitcoin;BTC;Bitcoin;10/02/2014;1;681,32;703,71;550,5;681,03;112758000;8430742782;0,852;153,21
bitcoin;BTC;Bitcoin;11/02/2014;1;683,5;712,46;636,66;672,17;72745200;8323817195;0,4685;75,8
bitcoin;BTC;Bitcoin;12/02/2014;1;672,38;672,9;643,04;651,72;25367600;8073458481;0,2907;29,86
bitcoin;BTC;Bitcoin;13/02/2014;1;651,08;657,99;601,91;605,24;38588100;7500376176;0,0594;56,08
bitcoin;BTC;Bitcoin;14/02/2014;1;601,17;691,72;541,04;661,99;102506000;8206805878;0,8027;150,68
bitcoin;BTC;Bitcoin;15/02/2014;1;660,9;661,84;632,84;650,92;26709200;8072579656;0,6234;29
bitcoin;BTC;Bitcoin;16/02/2014;1;651,3;665,1;584,17;616,63;40061700;7650358837;0,4011;80,93
bitcoin;BTC;Bitcoin;17/02/2014;1;614,23;656,95;607,31;626,27;31948400;7772386462;0,382;49,64
bitcoin;BTC;Bitcoin;18/02/2014;1;627,16;645,76;612,54;626,6;20015100;7779035355;0,4232;33,22
bitcoin;BTC;Bitcoin;19/02/2014;1;625,97;631,77;618,7;623,03;13897800;7737830115;0,3313;13,07
bitcoin;BTC;Bitcoin;20/02/2014;1;623,09;627,73;556,14;556,14;46905000;6909538974;0;71,59
bitcoin;BTC;Bitcoin;26/01/2015;1;254,08;309,38;254,08;273,47;106794000;3764417376;0,3506;55,3
bitcoin;BTC;Bitcoin;27/01/2015;1;273,17;275,48;250,65;263,48;44399000;3627760928;0,5167;24,83
bitcoin;BTC;Bitcoin;28/01/2015;1;263,35;266,54;227,05;233,91;44352200;3221728839;0,1737;39,49
bitcoin;BTC;Bitcoin;29/01/2015;1;233,35;238,71;220,71;233,51;32213400;3217149466;0,7111;18
bitcoin;BTC;Bitcoin;30/01/2015;1;232,77;242,85;225,84;226,43;26605200;3120272355;0,0347;17,01
bitcoin;BTC;Bitcoin;31/01/2015;1;226,44;233,5;216,31;217,46;23348200;2997692311;0,0669;17,19
bitcoin;BTC;Bitcoin;01/02/2015;1;216,87;231,57;212,01;226,97;29128500;3129637468;0,7648;19,56
bitcoin;BTC;Bitcoin;02/02/2015;1;226,49;242,18;222,66;238,23;30612100;3285797305;0,7976;19,52
bitcoin;BTC;Bitcoin;03/02/2015;1;237,45;245,96;224,48;227,27;40783700;3135343874;0,1299;21,48
bitcoin;BTC;Bitcoin;04/02/2015;1;227,51;230,06;221,11;226,85;26594300;3130520358;0,6413;8,95
bitcoin;BTC;Bitcoin;05/02/2015;1;227,66;239,4;214,73;217,11;22516400;2996945966;0,0965;24,67
bitcoin;BTC;Bitcoin;06/02/2015;1;216,92;230,51;216,23;222,27;24435300;3069076711;0,423;14,28
bitcoin;BTC;Bitcoin;07/02/2015;1;222,63;230,3;222,61;227,75;21604200;3145761023;0,6684;7,69
bitcoin;BTC;Bitcoin;08/02/2015;1;227,69;229,44;221,08;223,41;17145200;3086537315;0,2787;8,36
bitcoin;BTC;Bitcoin;09/02/2015;1;223,39;223,98;217,02;220,11;27791300;3041799140;0,444;6,96
bitcoin;BTC;Bitcoin;10/02/2015;1;220,28;221,81;215,33;219,84;21115100;3038850985;0,696;6,48
bitcoin;BTC;Bitcoin;11/02/2015;1;219,73;223,41;218,07;219,18;17201900;3030676475;0,2079;5,34
bitcoin;BTC;Bitcoin;12/02/2015;1;219,21;222,2;217,61;221,76;15206200;3066996120;0,9041;4,59
bitcoin;BTC;Bitcoin;13/02/2015;1;221,97;240,26;221,26;235,43;42744400;3256814719;0,7458;19
bitcoin;BTC;Bitcoin;14/02/2015;1;235,53;259,81;235,53;257,32;49732500;3560717936;0,8974;24,28
bitcoin;BTC;Bitcoin;15/02/2015;1;257,51;265,61;227,68;234,82;56552400;3250242178;0,1882;37,93
bitcoin;BTC;Bitcoin;17/03/2016;1;417,89;421;417,89;420,62;83528600;6447467967;0,8778;3,11
bitcoin;BTC;Bitcoin;18/03/2016;1;420,55;420,55;406,14;409,55;104940000;6279128504;0,2366;14,41
bitcoin;BTC;Bitcoin;19/03/2016;1;409,27;410,98;407,23;410,44;58423000;6294271612;0,856;3,75
bitcoin;BTC;Bitcoin;20/03/2016;1;410,4;414,63;410,4;413,76;45947900;6346546570;0,7943;4,23
bitcoin;BTC;Bitcoin;21/03/2016;1;413,42;413,42;410,38;413,31;61655400;6341110984;0,9638;3,04
bitcoin;BTC;Bitcoin;22/03/2016;1;413,13;418,38;412,53;418,09;66813300;6416025151;0,9504;5,85
bitcoin;BTC;Bitcoin;23/03/2016;1;418,16;419,27;417,36;418,04;61444200;6416845742;0,356;1,91
bitcoin;BTC;Bitcoin;24/03/2016;1;418,42;418,68;415,49;416,39;68346704;6393094869;0,2821;3,19
bitcoin;BTC;Bitcoin;25/03/2016;1;416,51;418,08;415,56;417,18;52560000;6406608048;0,6429;2,52
bitcoin;BTC;Bitcoin;26/03/2016;1;417,36;418,99;416,26;417,95;44650400;6420042696;0,619;2,73
bitcoin;BTC;Bitcoin;27/03/2016;1;418,14;428,8;417,71;426,77;71229400;6557030843;0,817;11,09
bitcoin;BTC;Bitcoin;28/03/2016;1;426,55;426,86;423,29;424,23;68522800;6519889575;0,2633;3,57
bitcoin;BTC;Bitcoin;29/03/2016;1;424,3;426,2;412,68;416,52;75411504;6402954687;0,284;13,52
bitcoin;BTC;Bitcoin;30/03/2016;1;416,83;416,83;412,5;414,82;66034100;6378356002;0,5358;4,33
bitcoin;BTC;Bitcoin;31/03/2016;1;415,26;418,37;415,26;416,73;60215200;6409062819;0,4727;3,11
bitcoin;BTC;Bitcoin;01/04/2016;1;416,76;418,17;415,83;417,96;51235700;6429593619;0,9103;2,34
bitcoin;BTC;Bitcoin;02/04/2016;1;418,42;422,08;418,42;420,87;45681200;6475857111;0,6694;3,66
bitcoin;BTC;Bitcoin;03/04/2016;1;421,17;421,58;419,7;420,9;38053700;6477828309;0,6383;1,88
bitcoin;BTC;Bitcoin;04/04/2016;1;421,3;422,34;419,6;421,44;50634300;6487898586;0,6715;2,74
bitcoin;BTC;Bitcoin;05/04/2016;1;421,02;424,26;420,61;424,03;60718000;6529351750;0,937;3,65
bitcoin;BTC;Bitcoin;06/04/2016;1;424,28;424,53;422,73;423,41;59091000;6521491709;0,3778;1,8
aurumcoin;AU;AurumCoin;21/11/2017;317;1,23;1,23;1,01;1,02;24;302253;0,0455;0,22
aurumcoin;AU;AurumCoin;22/11/2017;317;1,02;1,3;1,02;1,24;16;368507;0,7857;0,28
aurumcoin;AU;AurumCoin;23/11/2017;317;1,22;1,99;0,97278;1,6;5;474010;0,6166;1,02
aurumcoin;AU;AurumCoin;24/11/2017;317;1,55;1,61;1,04;1,06;88;312522;0,0351;0,57
aurumcoin;AU;AurumCoin;25/11/2017;317;1,05;1,22;1,05;1,14;13;336916;0,5294;0,17
aurumcoin;AU;AurumCoin;26/11/2017;317;1,14;1,2;1,12;1,18;12;348533;0,75;0,08
aurumcoin;AU;AurumCoin;27/11/2017;317;1,18;1,28;1,18;1,27;181;377373;0,9;0,1
aurumcoin;AU;AurumCoin;28/11/2017;317;1,28;1,49;1,23;1,23;271;365684;0;0,26
aurumcoin;AU;AurumCoin;29/11/2017;317;1,23;1,53;1,18;1,27;57;376532;0,2571;0,35
aurumcoin;AU;AurumCoin;30/11/2017;317;1,29;1,34;1,12;1,25;28;371339;0,5909;0,22
aurumcoin;AU;AurumCoin;01/12/2017;317;1,25;1,49;1,17;1,37;99;404669;0,625;0,32
aurumcoin;AU;AurumCoin;02/12/2017;317;1,36;1,57;1,25;1,26;244;372023;0,0313;0,32
aurumcoin;AU;AurumCoin;03/12/2017;317;1,26;1,7;1,25;1,61;284;475776;0,8;0,45
aurumcoin;AU;AurumCoin;04/12/2017;317;1,61;1,66;1,56;1,65;59;489434;0,9;0,1
aurumcoin;AU;AurumCoin;05/12/2017;317;1,66;1,97;1,59;1,65;66;489591;0,1579;0,38
aurumcoin;AU;AurumCoin;06/12/2017;317;1,65;1,89;1,46;1,58;58;469300;0,2791;0,43
aurumcoin;AU;AurumCoin;07/12/2017;317;1,58;1,93;1,56;1,82;376;537939;0,7027;0,37
aurumcoin;AU;AurumCoin;08/12/2017;317;1,82;1,85;1,27;1,61;53;477600;0,5862;0,58
aurumcoin;AU;AurumCoin;09/12/2017;317;1,61;2,11;1,56;2,09;71;617998;0,9636;0,55
aurumcoin;AU;AurumCoin;01/01/2018;317;4,24;4,77;3,35;4,71;654;1398631;0,9577;1,42
aurumcoin;AU;AurumCoin;02/01/2018;317;4,71;5,56;4,05;5,49;294;1632095;0,9536;1,51
aurumcoin;AU;AurumCoin;03/01/2018;317;5,47;5,53;4,15;4,42;755;1312753;0,1957;1,38
aurumcoin;AU;AurumCoin;04/01/2018;317;4,44;5,3;3,93;4,64;516;1378723;0,5182;1,37
aurumcoin;AU;AurumCoin;05/01/2018;317;4,65;8,37;4,61;8,29;4831;2464591;0,9787;3,76
aurumcoin;AU;AurumCoin;06/01/2018;317;8,3;8,6;6,39;7,18;1662;2132878;0,3575;2,21
aurumcoin;AU;AurumCoin;07/01/2018;317;7,16;8,52;6,73;7,85;2181;2332346;0,6257;1,79
aurumcoin;AU;AurumCoin;08/01/2018;317;7,84;7,87;5,79;6,4;2205;1903054;0,2933;2,08
aurumcoin;AU;AurumCoin;09/01/2018;317;6,39;12,22;6,17;9,55;7917;2838523;0,5587;6,05
aurumcoin;AU;AurumCoin;10/01/2018;317;9,56;24,77;6,94;8,67;20649;2578036;0,097;17,83
aurumcoin;AU;AurumCoin;11/01/2018;317;8,66;12,14;7,5;10,38;7138;3083629;0,6207;4,64
aurumcoin;AU;AurumCoin;12/01/2018;317;10,44;48,08;10,14;18,24;41937;5422100;0,2135;37,94
aurumcoin;AU;AurumCoin;13/01/2018;317;18,22;20,73;16,15;18,07;3530;5371604;0,4192;4,58
aurumcoin;AU;AurumCoin;14/01/2018;317;18,08;18,31;12,09;13,18;2365;3918449;0,1752;6,22
aurumcoin;AU;AurumCoin;15/01/2018;317;13,09;14,38;10,97;10,97;3955;3261112;0;3,41
aurumcoin;AU;AurumCoin;16/01/2018;317;10,98;12,24;7,19;8,03;1960;2386094;0,1663;5,05
aurumcoin;AU;AurumCoin;17/01/2018;317;7,99;14,77;6,92;9,75;4604;2899371;0,3605;7,85
aurumcoin;AU;AurumCoin;18/01/2018;317;9,79;14,05;9,52;11,79;6114;3504417;0,5011;4,53
aurumcoin;AU;AurumCoin;19/01/2018;317;11,67;26;10,93;14,19;63548;4217959;0,2163;15,07
aurumcoin;AU;AurumCoin;20/01/2018;317;14,34;14,95;11,72;13,49;15019;4010009;0,548;3,23
aurumcoin;AU;AurumCoin;21/01/2018;317;13,52;15,77;10,68;12,09;5965;3593156;0,277;5,09
aurumcoin;AU;AurumCoin;22/01/2018;317;12,25;12,98;10,2;10,81;831;3213884;0,2194;2,78
